実数値,育て方,種族値,ポケモン,特性,アイコンID,ランク,D,C,A,B,イーブイ,DLC,IV,EV,性格
344,準速,120,オオニューラ,かるわざ,1ukirOhDr8blvSf4SxpR26zBYqL1z55pb,2,O,X,X,X,X,X,31,252,1
344,最速,105,ドレディア(ヒスイのすがた),ようりょくそ,1xdOxIqCk6bYRW9JmeW3V7OlVzaLflDh9,2,O,X,X,X,X,X,31,252,1.1
340,準速,118,ルチャブル,かるわざ,19Xf-L-x6OwoTJ3hQrwFOioVs9Dn6I4qM,2,O,O,O,O,X,X,31,252,1
334,準速,115,フローゼル,すいすい,1ziwICzWn1FQBgKHtEF1SDnF6HPY639fE,2,O,O,O,O,X,X,31,252,1
333,最速,150,マルマイン(ヒスイのすがた),,1_rPTatsFWNWT2SCUdol7GpXyr_N6OEH6,1,O,X,X,X,X,X,31,252,1.1
333,最速,150,マルマイン(原種),,1srpHfzKsBCqVk118OSPFikcqcJ5wDvdB,1,O,O,O,O,X,X,31,252,1.1
330,最速,148,ザシアン(けんのおう),,10h1Cjyc8oZwuWdXCUOjgFNdvp8dePrYd,1,X,X,X,X,X,X,31,252,1.1
328,準速,112,ルガルガン(まひるのすがた),すなかき,1rgxUnI76--3kCfRG_pSCN7gbt50IjZKk,2,O,O,O,O,X,X,31,252,1
328,準速,30,タンドン,じょうききかん,1O0PMvJO75ZPr5-So-oHg_eypK8FN9mdP,6,O,O,O,O,X,X,31,252,1
328,準速,30,セキタンザン,じょうききかん,1fjz11rEGMRUW3pwXFiAKtKFOEXjOXq9J,6,O,O,O,O,X,X,31,252,1
326,最速,97,ラブカス,すいすい,1j71Mp9WDZWzo2aWLgbee4Tbc_dgHcXFA,2,O,O,O,O,X,X,31,252,1.1
324,準速,110,タギングル,かるわざ,1g1M1ZqVZ2rfS-PN60HPNE6RpV-rNyt5F,2,O,O,O,O,X,X,31,252,1
324,準速,110,ライチュウ(アローラのすがた),サーフテール,1QSJTjBbWHc_4lewKzO0USv9Zq0KnL5tB,2,O,X,X,X,X,X,31,252,1
324,準速,110,ワタッコ,ようりょくそ,1vSnBPxmfYUoP_5vqk4eQzNNTYy-8QFD8,2,O,O,O,O,X,X,31,252,1
322,最速,95,メブキジカ,ようりょくそ,1d8ioyKX9rwLMUPBgY5RQUodhTqUq8QdQ,2,O,O,O,O,X,X,31,252,1.1
322,最速,95,リーフィア,ようりょくそ,1-0vvisqyZ_xFMEBs1EmBRsI0C3V3IB-I,2,O,O,O,O,O,X,31,252,1.1
319,最速,142,ドラパルト,,1gDDB3qD8gSa3pKqeJ_8Sg1cb3ylrYPON,1,O,O,O,O,X,X,31,252,1.1
314,準速,105,ドレディア(ヒスイのすがた),ようりょくそ,1xdOxIqCk6bYRW9JmeW3V7OlVzaLflDh9,2,O,X,X,X,X,X,31,252,1
314,最速,91,ネオラント,すいすい,1bTOgyxyN2sUf7GLSZ3xpkjDAz7NSqWOH,2,O,O,O,O,X,X,31,252,1.1
313,最速,138,ザシアン(れきせんのゆうしゃ),,1y0QwEAqhzKgTqN3s61wLL8X_GDiXdzAt,1,X,X,X,X,X,X,31,252,1.1
313,最速,138,ザマゼンタ(れきせんのゆうしゃ),,1LostHoJFpN41WSA-016utR5I2dXkD3tk,1,X,X,X,X,X,X,31,252,1.1
312,無振り,136,カマスジョー,すいすい,1s27bLsYXqwlBySR8Wq27gpFvI4Q64Fqe,2,O,O,O,O,X,X,31,0,1
312,最速,90,ドレディア(原種),ようりょくそ,1GJEOIzj3sIeNYPAxDQsDN4jPls8vAX1-,2,O,O,O,O,X,X,31,252,1.1
309,最速,136,カマスジョー,,1s27bLsYXqwlBySR8Wq27gpFvI4Q64Fqe,1,O,O,O,O,X,X,31,252,1.1
309,最速,136,テツノツツミ,,1YSKPGY07w6jr9loaOahaCjII5zHKOXn_,1,O,O,O,X,X,X,31,252,1.1
307,最速,135,ハバタクカミ,,1I-Ndob5eF6_iv8hj_rbyhfBdnFczdjXJ,1,O,O,O,X,X,X,31,252,1.1
307,最速,135,パオジアン,,1gnNMZyxt_9NYEExWGhwUmqPXiYPbaW8-,1,O,O,X,X,X,X,31,252,1.1
307,最速,135,コライドン(バトルフォルム),,1VVS5oWu_ql9PkGaTRfcLTK9VwcSidppT,1,X,X,X,X,X,X,31,252,1.1
307,最速,135,ミライドン(バトルフォルム),,1I1ShAvd8ommE9ZSVcp3TI4OSPNasUawy,1,X,X,X,X,X,X,31,252,1.1
303,準速,150,マルマイン(ヒスイのすがた),,1_rPTatsFWNWT2SCUdol7GpXyr_N6OEH6,1,O,X,X,X,X,X,31,252,1
303,準速,150,マルマイン(原種),,1srpHfzKsBCqVk118OSPFikcqcJ5wDvdB,1,O,O,O,O,X,X,31,252,1
300,準速,148,ザシアン(けんのおう),,10h1Cjyc8oZwuWdXCUOjgFNdvp8dePrYd,1,X,X,X,X,X,X,31,252,1
300,最速,130,ミュウツー,,1umzu-rQrH7kVkP4CEYDYnurMQWheEJUL,1,X,X,X,X,X,X,31,252,1.1
#N/A,最速,#N/A,ムゲンダイナ,,#N/A,1,#N/A,,,,,X,31,252,1.1
300,最速,130,レイスポス,,1MvX1sIMgD9J3WF7-lRrrNPBC1maa5y-z,1,O,X,X,X,X,X,31,252,1.1
300,最速,130,サンダース,,1wvDPJsOFZkUtkrBlg3P-zELA4gdmEAWe,1,O,O,O,O,O,X,31,252,1.1
300,最速,130,コオリッポ(ナイスフェイス),,1kB1ow3P_2_hnrDYYdQ3UeRc0guw8wUMp,1,O,O,O,O,X,X,31,252,1.1
300,最速,85,ソウブレイズ,くだけるよろい,1324hxh48JnfnXUd-Q7YB2pj3QBgXVRTg,2,O,O,O,O,X,X,31,252,1.1
300,最速,85,ブイゼル,すいすい,1eNcG_2BWksS6ok1qKPs3uiVfC4aWgD7_,2,O,O,O,O,X,X,31,252,1.1
300,最速,85,ハリーセン(ヒスイのすがた),すいすい,17k8JvCpQYkQvLhgWFqfUPHMbt_gjj___,2,O,X,X,X,X,X,31,252,1.1
300,最速,85,ハリーマン,すいすい,1wR48UHjT_du_JjRg5XU6gKRxytdJdBMt,2,O,X,X,X,X,X,31,252,1.1
#N/A,最速,#N/A,ハリーセン,すいすい,#N/A,2,#N/A,,,,,X,31,252,1.1
300,最速,85,ゴルダック,すいすい,1thAkY2DrgJDx29_UZ-WfIhzII7QZgySj,2,O,O,O,O,X,X,31,252,1.1
298,準速,97,ラブカス,すいすい,1j71Mp9WDZWzo2aWLgbee4Tbc_dgHcXFA,2,O,O,O,O,X,X,31,252,1
297,最速,128,メロエッタ(ステップフォルム),,1dTZtN-rvjkf6KotaKVasL68cXiv-axHQ,1,X,X,X,X,X,X,31,252,1.1
297,最速,128,ザマゼンタ(たてのおう),,14ejaEN4Ex3_LnwjDOv0tfdBS6LzApGSm,1,X,X,X,X,X,X,31,252,1.1
294,準速,95,メブキジカ,ようりょくそ,1d8ioyKX9rwLMUPBgY5RQUodhTqUq8QdQ,2,O,O,O,O,X,X,31,252,1
294,準速,95,リーフィア,ようりょくそ,1-0vvisqyZ_xFMEBs1EmBRsI0C3V3IB-I,2,O,O,O,O,O,X,31,252,1
292,最速,126,ファイアロー,,1CBVSeZJdHu0QwyUmcJLsjUN7zeU_f29U,1,O,O,O,O,X,X,31,252,1.1
291,準速,142,ドラパルト,,1gDDB3qD8gSa3pKqeJ_8Sg1cb3ylrYPON,1,O,O,O,O,X,X,31,252,1
291,最速,125,タイカイデン,,1wFHtiyI8QTZuu1TTZOZBB4b3fStSFJ7T,1,O,O,O,O,X,X,31,252,1.1
291,最速,125,マニューラ,,1Io78CdZVQU3uUGyBkDymFB9mIRFsV9pn,1,O,O,O,O,X,X,31,252,1.1
290,最速,80,フワライド,かるわざ,1IigNqWaYhKt2mUm1SVpFXyiSkuiYKOjQ,2,O,O,O,O,X,X,31,252,1.1
290,最速,80,コイキング,すいすい,15eHgNs65yfnkZHyv6HiOyuP8tz1ncnnb,2,O,O,O,O,X,X,31,252,1.1
290,最速,80,オニゴーリ,ムラっけ,1-Si6CL7Z4_bNrgg4gGf9n9Hhk1DmaF3n,2,O,O,O,O,X,X,31,252,1.1
290,最速,80,ポポッコ,ようりょくそ,1uKkwRVCuw1QZWkQPCy5eh70fTz-BDmPl,2,O,O,O,O,X,X,31,252,1.1
290,最速,80,ヒンバス,すいすい,1y1ZnCDByr-Pn1Nd3uMcl94XvE0CsZptM,2,X,X,X,X,X,O,31,252,1.1
290,最速,80,ダーテング,ようりょくそ,16peRdCVf-7pvkSFREUwiZePYOQCzngaw,2,X,X,X,X,X,O,31,252,1.1
288,最速,123,マスカーニャ,,13vUHZSKmepTJCHmUQm6-OptB9grAIVG2,1,O,O,O,O,X,X,31,252,1.1
288,最速,123,オンバーン,,1rUSeQs8eTjwPgIpl2rvurAg3LVEW4DwX,1,O,O,O,O,X,X,31,252,1.1
#N/A,最速,#N/A,ゲッコウガ,,#N/A,1,#N/A,,,,,X,31,252,1.1
286,準速,91,ネオラント,すいすい,1bTOgyxyN2sUf7GLSZ3xpkjDAz7NSqWOH,2,O,O,O,O,X,X,31,252,1
286,最速,78,イダイトウ(メスのすがた),すいすい,17Vc2HMaQynNIbmyHYAFGlI1OUVRnoGhj,2,O,X,X,X,X,X,31,252,1.1
286,最速,78,イダイトウ(オスのすがた),すいすい,1lCKX4oR1z5N21EnLXRBOuNxLy4ldloMr,2,O,X,X,X,X,X,31,252,1.1
285,準速,138,ザシアン(れきせんのゆうしゃ),,1y0QwEAqhzKgTqN3s61wLL8X_GDiXdzAt,1,X,X,X,X,X,X,31,252,1
285,準速,138,ザマゼンタ(れきせんのゆうしゃ),,1LostHoJFpN41WSA-016utR5I2dXkD3tk,1,X,X,X,X,X,X,31,252,1
285,最速,121,トルネロス(れいじゅうフォルム),,18iYJXUEbC7vilO66rOwg_WxL0Bi514pl,1,O,X,X,X,X,X,31,252,1.1
285,最速,121,モトトカゲ,,17Ka6jTLT1bcXC0WyM_ckuzx_PGDe2-gb,1,O,O,O,O,X,X,31,252,1.1
#N/A,準速,#N/A,ドレディア,ようりょくそ,#N/A,2,#N/A,,,,,X,31,252,1
#N/A,最速,#N/A,パルキア(オリジン),,#N/A,1,#N/A,,,,,X,31,252,1.1
283,最速,120,アルセウス,,18GueDoCLERZb4fkHdOS0227Kq4R79IA7,1,X,X,X,X,X,X,31,252,1.1
283,最速,120,インテレオン,,1eu3Z4oNvJKzyI2olvADHCZsYe6lalIJ_,1,O,X,X,X,X,X,31,252,1.1
283,最速,120,オオニューラ,,1ukirOhDr8blvSf4SxpR26zBYqL1z55pb,1,O,X,X,X,X,X,31,252,1.1
#N/A,最速,#N/A,ダグトリオ,,#N/A,1,#N/A,,,,,X,31,252,1.1
283,最速,120,ウミトリオ,,1OLm_FTM9YuRvvwwgRZfleerCYRUto0nz,1,O,O,O,O,X,X,31,252,1.1
282,準速,136,カマスジョー,,1s27bLsYXqwlBySR8Wq27gpFvI4Q64Fqe,1,O,O,O,O,X,X,31,252,1
282,準速,136,テツノツツミ,,1YSKPGY07w6jr9loaOahaCjII5zHKOXn_,1,O,O,O,X,X,X,31,252,1
282,最速,119,エースバーン,,1dwDWl_MIVrkTEpGuYjWTYh0KMUUDNn3I,1,O,X,X,X,X,X,31,252,1.1
282,最速,119,トドロクツキ,,19F9jowiU9vlT87AL0nIHqP0yqqzSJ_Nj,1,O,O,O,O,X,X,31,252,1.1
280,準速,135,ハバタクカミ,,1I-Ndob5eF6_iv8hj_rbyhfBdnFczdjXJ,1,O,O,O,X,X,X,31,252,1
280,準速,135,パオジアン,,1gnNMZyxt_9NYEExWGhwUmqPXiYPbaW8-,1,O,O,X,X,X,X,31,252,1
280,準速,135,コライドン(バトルフォルム),,1VVS5oWu_ql9PkGaTRfcLTK9VwcSidppT,1,X,X,X,X,X,X,31,252,1
280,準速,135,ミライドン(バトルフォルム),,1I1ShAvd8ommE9ZSVcp3TI4OSPNasUawy,1,X,X,X,X,X,X,31,252,1
280,無振り,120,オオニューラ,かるわざ,1ukirOhDr8blvSf4SxpR26zBYqL1z55pb,2,O,X,X,X,X,X,31,0,1
280,最速,118,ルチャブル,,19Xf-L-x6OwoTJ3hQrwFOioVs9Dn6I4qM,1,O,O,O,O,X,X,31,252,1.1
280,無振り,50,トロッゴン,じょうききかん,1XAOHIipfEoYKsYL7Koon9o5Q6bmcm-FD,6,O,O,O,O,X,X,31,0,1
278,最速,75,シルシュルー,かるわざ,1K-bFM0WnP298psJZDSn_zvcGeoWfuTpw,2,O,O,O,O,X,X,31,252,1.1
278,最速,75,グレンアルマ,くだけるよろい,18EhN4VQQMHnLirBIFs1CBJ8zAA5xGmaU,2,O,O,O,O,X,X,31,252,1.1
278,最速,75,スコヴィラン,ムラっけ,1Mip56aizWOTV-BsZvpXXzLzh8cWvGeqv,2,O,O,O,O,X,X,31,252,1.1
278,最速,75,シキジカ,ようりょくそ,1UUiCwtUCw0f6K8AZqpn9KdIu1b-xKM2p,2,O,O,O,O,X,X,31,252,1.1
278,最速,75,スコヴィラン,ようりょくそ,1Mip56aizWOTV-BsZvpXXzLzh8cWvGeqv,2,O,O,O,O,X,X,31,252,1.1
277,最速,200,レジエレキ,,1EF-G03_JJiTPOMTxR3oKXsrA20SUOw1x,0,O,X,X,X,X,X,31,252,1.1
277,最速,117,エンニュート,,1ahxD652B5gib0u2Bj_V4VBXOsqvV4fhD,1,O,O,O,O,X,X,31,252,1.1
276,無振り,118,ルチャブル,かるわざ,19Xf-L-x6OwoTJ3hQrwFOioVs9Dn6I4qM,2,O,O,O,O,X,X,31,0,1
276,最速,116,テツノブジン,,1rtj-Ww9cxECAR0kdwoZ43byUd3lx1SOB,1,O,O,O,O,X,X,31,252,1.1
276,最速,74,カジリガメ,すいすい,1IrHopCepiItjk-6NrgYfa18bW9ViHAsR,2,O,O,O,O,X,X,31,252,1.1
276,最速,116,エルフーン,,1ghRexwCvFS7tpp90SqdFDZrwezs6EBFR,1,X,X,X,X,X,O,31,252,1.1
276,最速,116,ゼブライカ,,14yIhHM8Swx9h0ABV4045g4mEJMIW_DkK,1,X,X,X,X,X,O,31,252,1.1
274,最速,115,ペルシアン(アローラのすがた),,1MykV45zD1y5qPELZSOh28uDFu9UE0syZ,1,O,X,X,X,X,X,31,252,1.1
274,最速,115,ニューラ(ヒスイのすがた),,1pCM_lrghGQuY79mI5m1RVk8K_6qBpaOK,1,O,X,X,X,X,X,31,252,1.1
274,最速,115,アグノム,,1Sf0EkKHy6x2IxZhr_DdeTimDzkMXoH0U,1,O,X,X,X,X,X,31,252,1.1
274,最速,115,フローゼル,,1ziwICzWn1FQBgKHtEF1SDnF6HPY639fE,1,O,O,O,O,X,X,31,252,1.1
#N/A,最速,#N/A,ペルシアン,,#N/A,1,#N/A,,,,,X,31,252,1.1
#N/A,最速,#N/A,ニューラ,,#N/A,1,#N/A,,,,,X,31,252,1.1
274,準速,85,ソウブレイズ,くだけるよろい,1324hxh48JnfnXUd-Q7YB2pj3QBgXVRTg,2,O,O,O,O,X,X,31,252,1
274,準速,85,ブイゼル,すいすい,1eNcG_2BWksS6ok1qKPs3uiVfC4aWgD7_,2,O,O,O,O,X,X,31,252,1
274,準速,85,ハリーセン(ヒスイのすがた),すいすい,17k8JvCpQYkQvLhgWFqfUPHMbt_gjj___,2,O,X,X,X,X,X,31,252,1
274,準速,85,ハリーマン,すいすい,1wR48UHjT_du_JjRg5XU6gKRxytdJdBMt,2,O,X,X,X,X,X,31,252,1
#N/A,準速,#N/A,ハリーセン,すいすい,#N/A,2,#N/A,,,,,X,31,252,1
274,準速,85,ゴルダック,すいすい,1thAkY2DrgJDx29_UZ-WfIhzII7QZgySj,2,O,O,O,O,X,X,31,252,1
274,最速,73,ハルクジラ,ゆきかき,1nxnZVI21T6scREQ073nKoLMyT2jqrJuY,2,O,O,O,O,X,X,31,252,1.1
274,最速,115,チラチーノ,,1MbiTW47IxUh62vVEQQJ8NlBIf2Ua1zK8,1,X,X,X,X,X,O,31,252,1.1
274,最速,115,エテボース,,1sCoMlbUXL-lIWxP86SGNGB8y8ATsHu8w,1,X,X,X,X,X,O,31,252,1.1
273,準速,130,ミュウツー,,1umzu-rQrH7kVkP4CEYDYnurMQWheEJUL,1,X,X,X,X,X,X,31,252,1
#N/A,準速,#N/A,ムゲンダイナ,,#N/A,1,#N/A,,,,,X,31,252,1
273,準速,130,レイスポス,,1MvX1sIMgD9J3WF7-lRrrNPBC1maa5y-z,1,O,X,X,X,X,X,31,252,1
273,準速,130,サンダース,,1wvDPJsOFZkUtkrBlg3P-zELA4gdmEAWe,1,O,O,O,O,O,X,31,252,1
273,準速,130,コオリッポ(ナイスフェイス),,1kB1ow3P_2_hnrDYYdQ3UeRc0guw8wUMp,1,O,O,O,O,X,X,31,252,1
270,準速,128,メロエッタ(ステップフォルム),,1dTZtN-rvjkf6KotaKVasL68cXiv-axHQ,1,X,X,X,X,X,X,31,252,1
270,準速,128,ザマゼンタ(たてのおう),,14ejaEN4Ex3_LnwjDOv0tfdBS6LzApGSm,1,X,X,X,X,X,X,31,252,1
270,無振り,115,フローゼル,すいすい,1ziwICzWn1FQBgKHtEF1SDnF6HPY639fE,2,O,O,O,O,X,X,31,0,1
270,最速,112,ルガルガン(まひるのすがた),,1rgxUnI76--3kCfRG_pSCN7gbt50IjZKk,1,O,O,O,O,X,X,31,252,1.1
268,最速,111,トルネロス(けしんフォルム),,1vgk5r3d9Oil8OMl5sES_V4X6gqzLUdWJ,1,O,X,X,X,X,X,31,252,1.1
268,最速,111,ボルトロス(けしんフォルム),,1uPx1ukRwWU1_9-dNfurGkh-plQCPTRST,1,O,X,X,X,X,X,31,252,1.1
268,最速,111,イッカネズミ(3びきかぞく),,1cvKu6M1Qutmhq15mPzIl3wfAgMfxYrGR,1,O,O,O,O,X,X,31,252,1.1
268,最速,111,イッカネズミ(4ひきかぞく),,1s9sEvmZzi7Piz57vwt-RUOQm14wtjM4R,1,O,O,O,O,X,X,31,252,1.1
268,最速,111,サケブシッポ,,14XkoZPxiN1QxPkgtp8UatUtCZq4clnsg,1,O,O,O,X,X,X,31,252,1.1
268,最速,70,フワンテ,かるわざ,1fGn9zpbTbWon7EGRTTEBP4UHyC0S-p5E,2,O,O,O,O,X,X,31,252,1.1
268,最速,70,ポットデス,くだけるよろい,1thEEr1FZvb-kaokQEfPuXVl5aPpBJa6w,2,O,O,O,O,X,X,31,252,1.1
267,準速,126,ファイアロー,,1CBVSeZJdHu0QwyUmcJLsjUN7zeU_f29U,1,O,O,O,O,X,X,31,252,1
267,最速,110,ライチュウ(アローラのすがた),,1QSJTjBbWHc_4lewKzO0USv9Zq0KnL5tB,1,O,X,X,X,X,X,31,252,1.1
267,最速,110,ダグトリオ(アローラのすがた),,1U7FVj9uo-esM_tquBIiSTfvOiYYGaE9K,1,O,X,X,X,X,X,31,252,1.1
267,最速,110,ゾロアーク(ヒスイのすがた),,1WiFBaKHehtTv-lu-GsklqFlV1c9N7Kbw,1,O,X,X,X,X,X,31,252,1.1
267,最速,110,ワタッコ,,1vSnBPxmfYUoP_5vqk4eQzNNTYy-8QFD8,1,O,O,O,O,X,X,31,252,1.1
267,最速,110,ゲンガー,,1t4eQ-nHU_wlcu6S7iI4sq8Fn1R1z7FRW,1,O,O,O,O,X,X,31,252,1.1
#N/A,最速,#N/A,ライチュウ,,#N/A,1,#N/A,,,,,X,31,252,1.1
267,最速,110,ルガルガン(たそがれのすがた),,1t6yql2JC3fhbdkFnuG_4Nv91qsC7pp0H,1,O,O,O,O,X,X,31,252,1.1
267,最速,110,エーフィ,,1V23N5p0FV_tpvd9po84wBemZ5lLScWk6,1,O,O,O,O,O,X,31,252,1.1
267,最速,110,タギングル,,1g1M1ZqVZ2rfS-PN60HPNE6RpV-rNyt5F,1,O,O,O,O,X,X,31,252,1.1
#N/A,最速,#N/A,ケンタロス,,#N/A,1,#N/A,,,,,X,31,252,1.1
267,最速,110,ユキメノコ,,15ioprpkWakmn9Pa6wrF2c00ob6Zmh5K3,1,O,O,O,O,X,X,31,252,1.1
267,最速,110,テツノドクガ,,1arivP4ie7WbaD6sBQe7ExW0pApO3u1Wz,1,O,O,O,X,X,X,31,252,1.1
265,準速,125,タイカイデン,,1wFHtiyI8QTZuu1TTZOZBB4b3fStSFJ7T,1,O,O,O,O,X,X,31,252,1
265,準速,125,マニューラ,,1Io78CdZVQU3uUGyBkDymFB9mIRFsV9pn,1,O,O,O,O,X,X,31,252,1
265,最速,109,ウネルミナモ,,1NBDOBfpg_HjkDzY4LhUGQvqtU94KtIAh,1,X,X,X,X,X,X,31,252,1.1
265,最速,109,キュウコン(アローラのすがた),,1jHUEGmorEL4FmY1b0OHRN7Y6L7Kws7aL,1,X,X,X,X,X,O,31,252,1.1
264,無振り,112,ルガルガン(まひるのすがた),すなかき,1rgxUnI76--3kCfRG_pSCN7gbt50IjZKk,2,O,O,O,O,X,X,31,0,1
264,最速,108,テツノコウベ,,1yj6SNTN-nun-0AWs90_HmkyeKw0fIoDT,1,O,O,O,X,X,X,31,252,1.1
264,準速,80,フワライド,かるわざ,1IigNqWaYhKt2mUm1SVpFXyiSkuiYKOjQ,2,O,O,O,O,X,X,31,252,1
264,準速,80,コイキング,すいすい,15eHgNs65yfnkZHyv6HiOyuP8tz1ncnnb,2,O,O,O,O,X,X,31,252,1
264,準速,80,オニゴーリ,ムラっけ,1-Si6CL7Z4_bNrgg4gGf9n9Hhk1DmaF3n,2,O,O,O,O,X,X,31,252,1
264,準速,80,ポポッコ,ようりょくそ,1uKkwRVCuw1QZWkQPCy5eh70fTz-BDmPl,2,O,O,O,O,X,X,31,252,1
264,最速,68,ハカドッグ,すなかき,16rpnQcsEJOAKvNU--qF_sTODxTk-wsL2,2,O,O,O,O,X,X,31,252,1.1
262,準速,123,マスカーニャ,,13vUHZSKmepTJCHmUQm6-OptB9grAIVG2,1,O,O,O,O,X,X,31,252,1
262,準速,123,オンバーン,,1rUSeQs8eTjwPgIpl2rvurAg3LVEW4DwX,1,O,O,O,O,X,X,31,252,1
#N/A,準速,#N/A,ゲッコウガ,,#N/A,1,#N/A,,,,,X,31,252,1
260,無振り,110,タギングル,かるわざ,1g1M1ZqVZ2rfS-PN60HPNE6RpV-rNyt5F,2,O,O,O,O,X,X,31,0,1
260,無振り,110,ライチュウ(アローラのすがた),サーフテール,1QSJTjBbWHc_4lewKzO0USv9Zq0KnL5tB,2,O,X,X,X,X,X,31,0,1
260,無振り,110,ワタッコ,ようりょくそ,1vSnBPxmfYUoP_5vqk4eQzNNTYy-8QFD8,2,O,O,O,O,X,X,31,0,1
260,準速,78,イダイトウ(メスのすがた),すいすい,17Vc2HMaQynNIbmyHYAFGlI1OUVRnoGhj,2,O,X,X,X,X,X,31,252,1
260,準速,78,イダイトウ(オスのすがた),すいすい,1lCKX4oR1z5N21EnLXRBOuNxLy4ldloMr,2,O,X,X,X,X,X,31,252,1
259,準速,121,トルネロス(れいじゅうフォルム),,18iYJXUEbC7vilO66rOwg_WxL0Bi514pl,1,O,X,X,X,X,X,31,252,1
259,準速,121,モトトカゲ,,17Ka6jTLT1bcXC0WyM_ckuzx_PGDe2-gb,1,O,O,O,O,X,X,31,252,1
259,最速,106,ラブトロス(けしんフォルム),,1y7IbuaSngSIsX3-LoE-xwfDgpHAkjp1n,1,O,X,X,X,X,X,31,252,1.1
259,最速,106,カエンジシ,,1JVRe2AhdilAysqANhOQpT5DvHIO917re,1,O,O,O,O,X,X,31,252,1.1
259,最速,106,テツノワダチ,,1LLaw5MH_gSZmSgREtwvwIjJG1UhWLlOu,1,O,O,O,X,X,X,31,252,1.1
#N/A,準速,#N/A,パルキア(オリジン),,#N/A,1,#N/A,,,,,X,31,252,1
258,準速,120,アルセウス,,18GueDoCLERZb4fkHdOS0227Kq4R79IA7,1,X,X,X,X,X,X,31,252,1
258,準速,120,インテレオン,,1eu3Z4oNvJKzyI2olvADHCZsYe6lalIJ_,1,O,X,X,X,X,X,31,252,1
258,準速,120,オオニューラ,,1ukirOhDr8blvSf4SxpR26zBYqL1z55pb,1,O,X,X,X,X,X,31,252,1
#N/A,準速,#N/A,ダグトリオ,,#N/A,1,#N/A,,,,,X,31,252,1
258,準速,120,ウミトリオ,,1OLm_FTM9YuRvvwwgRZfleerCYRUto0nz,1,O,O,O,O,X,X,31,252,1
258,最速,105,ドレディア(ヒスイのすがた),,1xdOxIqCk6bYRW9JmeW3V7OlVzaLflDh9,1,O,X,X,X,X,X,31,252,1.1
258,最速,105,ザルード,,1mr5HGpv5tEF1r347X3ZsK-cea2HxApiR,1,X,X,X,X,X,X,31,252,1.1
258,最速,105,パーモット,,1kpim1LEuN15rojtAnpf7h8YFl9Qr8d5v,1,O,O,O,O,X,X,31,252,1.1
258,最速,105,ムウマージ,,1yE5pCDgsL2Fh5Zpbc1-PnMvuIjpUURV5,1,O,O,O,O,X,X,31,252,1.1
#N/A,最速,#N/A,ゾロアーク,,#N/A,1,#N/A,,,,,X,31,252,1.1
258,最速,105,ストライク,,1qKByjB3JqScTL-X0fQOieLsJNCqAkXK0,1,O,O,O,O,X,X,31,252,1.1
258,最速,105,クエスパトラ,,1C-GogL4iEqoJVcoH6ej3oiw1LaVcNOmW,1,O,O,O,O,X,X,31,252,1.1
